,id,SAT,WBT,ATin,ATout,ET,DI,MDI,HMI,NET,sWBGT,WCT,HI,year,month,day
622151,54436,2.2,-0.583092846,1.76359188,-0.441916472,5.11408,0.808453577,0.398680365,-0.730030502,-3.634756806,7.044489132,0.738108559,0.198888889,2007,3,13
708973,54511,25.2,17.37568674,25.05738117,25.41789197,19.3936,21.28784337,22.60776506,27.65778744,19.7282185,23.89721272,26.97672502,24.95055556,2004,9,1
887063,54607,4.6,0.879604101,3.976904736,1.863913397,6.63904,2.73980205,2.407703075,1.68338446,-1.451149751,8.414779825,3.105953022,2.577777778,2003,3,9
94018,53594,17.6,14.221834,18.05568491,17.24507719,14.77736,15.910917,17.3543755,20.0333044,12.12409103,19.57069168,18.08486032,17.2825,2020,9,1
217510,53783,7.2,1.680205879,6.150421054,3.459291868,8.27856,4.440102939,3.996154409,3.731713162,-0.484405967,9.49868852,5.004755953,4.941666667,2006,2,13
70947,53584,-5.9,-8.402586436,-6.24244729,-9.564588445,0.10384,-7.151293218,-8.543939827,-10.22897941,-12.38215198,1.462073705,-9.033953178,-8.972222222,2005,2,13
132457,53687,12.7,11.68618951,13.32199974,12.78890885,11.71828,12.19309475,13.59064213,14.56344934,10.28422955,16.3892359,13.84796226,12.40166667,2009,5,15
774487,54526,16.9,15.36663546,17.93071395,17.44392177,14.38012,16.13331773,17.94697659,20.64385272,12.86410533,20.10096628,17.72249116,16.91722222,2016,10,18
863048,54602,25.3,18.87324451,25.80681027,24.62455479,19.51048,22.08662226,23.76893338,29.41779594,18.70001981,25.12832017,26.80968103,25.29555556,2014,5,20
943875,54618,26.7,20.09976734,27.4260738,27.16170345,20.38072,23.39988367,25.22082551,31.65423634,20.88557557,26.51387728,28.59354082,27.36096565,2018,6,3
106243,53599,6.4,1.853755447,5.602798588,4.033544171,7.77088,4.126877724,3.822316585,3.407366435,2.089407199,9.381599296,5.791363502,4.348888889,2004,10,13
396549,53974,27.1,20.29022957,27.8142945,26.68608591,20.62252,23.69511478,25.51567218,32.10529362,20.62422744,26.77679882,29.00520514,27.70835218,2015,7,2
531398,54406,22.6,14.11690546,21.78363108,20.74230098,17.75152,18.35845273,19.17567909,22.83136848,15.36612749,20.84788643,23.58637452,21.90777778,2004,6,2
618248,54434,-9.5,-11.68817345,-9.764383823,-14.47443984,-2.0276,-10.59408672,-12.37613009,-14.35906915,-18.53017801,-0.954149283,-15.27496533,-13.29777778,2006,2,2
994723,54631,26.6,23.72355195,29.22516755,28.64687959,20.48456,25.16177598,27.90066396,36.32924807,22.01505964,29.8353584,28.46064075,27.37833333,2006,6,28
550106,54416,11.4,8.86864853,11.44030091,11.00854628,10.88256,10.13432427,10.9834864,11.53205981,10.68935801,14.42722845,13.27033047,10.58,2019,10,17
1032687,54700,17.8,13.03284343,17.76453812,16.89112556,14.8672,15.41642172,16.53863257,19.03355875,11.91270616,18.83530673,18.22234052,17.20222222,2014,4,29
612821,54433,2.7,-0.927832517,2.065369491,0.259244992,5.46232,0.886083741,0.330125612,-0.629542036,-0.608144194,7.045346408,2.155856488,0.435555556,2003,2,28
846072,54596,26.3,19.98268596,27.07388001,27.08507273,20.14186,23.14134298,24.98101447,31.29414702,20.87193729,26.31531292,28.16337068,26.43472222,2020,5,2
732105,54517,28,23.73257127,30.2827451,30.99840464,21.304,25.86628564,28.43942845,37.14743138,24.43339422,30.21754011,30.18798496,30.6664522,2007,8,15
268917,53794,21.6,18.54984868,22.88406918,22.51406289,17.31264,20.07492434,22.12038651,26.93297469,16.89063511,23.89012359,22.76103925,21.8,2012,5,22
465641,53992,21.7,20.35468276,23.76178452,23.20234956,17.437924,21.02734138,23.51201207,29.01690591,17.15425265,25.35039689,22.81324709,22.25727778,2020,6,16
113870,53680,23,17.00113424,23.25831574,22.81437794,18.086,20.00056712,21.49085068,26.02574724,17.16320905,23.05162766,24.25830468,22.79166667,2006,9,6
40392,53491,19.7,12.74180089,19.0848229,18.28329355,15.993824,16.22090044,17.04235066,19.85357782,13.28837165,19.14855182,20.33822579,18.89533333,2019,8,17
13053,53484,18.8,14.54971791,19.09728613,18.89135103,15.5088,16.67485896,18.05628843,21.07574748,14.55384351,20.13962477,19.8554228,18.43277778,2014,9,7
49465,53498,-4.9,-7.816143617,-5.377703927,-10.00482175,0.78584,-6.358071809,-7.724107713,-9.368502417,-15.2416911,1.930365257,-10.32435749,-8.133333333,2011,3,2
663930,54499,21,12.21683875,19.87935157,17.71031961,16.7496,16.60841937,17.14262906,20.13986273,12.75634689,19.16847804,21.36996273,20.04333333,2003,6,10
860945,54602,26.3,23.43634296,28.84289226,28.95326569,20.29508,24.86817148,27.57125722,35.76090297,22.49936501,29.47541209,28.2066574,27.04833333,2018,8,29
688933,54506,7.8,5.181693993,7.574707425,6.436279477,8.61576,6.490846996,6.850270494,6.534236249,4.561718192,11.39710917,8.16396657,6.541666667,2004,11,2
832820,54540,4,0.3492258,3.381885357,0.48580487,6.2656,2.1746129,1.78191935,0.974760525,-4.408236595,7.997731569,1.366048051,1.917777778,2016,3,7
48595,53498,11.5,7.86487637,11.21910351,9.722821369,10.939,9.682438185,10.26865728,10.84123635,5.185270014,13.92444399,10.92747843,10.40277778,2003,10,5
118898,53681,10.6,3.419550309,9.210746343,7.388769403,10.36648,7.009775154,6.592662731,6.960834516,4.140084961,11.30559688,9.521463891,8.420555556,2011,4,27
404021,53980,9.8,7.254016573,9.713875167,8.723250152,9.874,8.527008287,9.16451243,9.289634797,6.150299555,13.06553155,10.17756732,8.793888889,2017,4,10
218222,53783,12.5,4.353138198,10.93289218,9.861265618,11.523,8.426569099,8.014853648,8.795552754,7.224110132,12.33671194,12.31852438,10.40611111,2006,4,2
250024,53790,26.1,22.10674903,27.99381761,28.40065238,20.11724,24.10337452,26.49806177,33.88158947,22.26538218,28.17394692,28.0337336,26.61944444,2015,8,16
405778,53980,0.3,-1.526920203,0.04787365,-1.933569409,3.87736,-0.613460102,-1.031190152,-2.548519033,-3.329124878,6.024856112,-0.019428608,-1.577777778,2007,12,24
745093,54519,-3.1,-6.389081191,-3.691619284,-6.740472076,1.91468,-4.744540596,-5.969810893,-7.492538692,-8.674714366,3.00470737,-5.944258713,-6.231666667,2013,2,10
107738,53599,23.5,21.02295094,25.47841833,25.58447121,18.5374,22.26147547,24.69721321,30.97000628,19.92021214,26.47931092,25.09819237,24.02055556,2007,7,31
576132,54424,17.2,8.198098876,15.66727921,14.60234474,14.39632,12.69904944,12.68457416,14.53178001,10.39052375,15.73471241,17.3427043,15.6675,2019,4,15
921256,54613,18.4,17.55453112,19.95543945,19.65503586,15.35248,17.97726556,20.15789834,23.77178461,14.90250814,22.10318047,19.47757432,18.72388889,2020,9,24
545603,54412,24.4,17.32922796,24.44211694,23.07065177,18.92224,20.86461398,22.26892097,27.16264529,17.36542266,23.65929072,25.68677329,24.175,2014,5,22
869777,54604,29.5,25.89623774,32.64624009,33.12749099,22.285,27.69811887,30.6321783,41.13075622,25.94909979,32.82491979,31.88664752,34.96361077,2017,7,16
258533,53791,15.8,10.55017929,15.36708507,14.04435006,13.60528,13.17508964,13.91663447,15.62598979,9.179639039,16.70549287,15.6836533,14.84555556,2006,4,27
165990,53694,-3.7,-5.10051217,-3.864513026,-6.694830024,1.33064,-4.400256085,-5.231384127,-7.135295391,-10.91838203,3.341729003,-5.808089967,-5.873333333,2015,11,24
376829,53896,21,18.23513065,22.28557126,22.10779205,16.9432,19.61756532,21.65634798,26.21556743,16.87095994,23.46686138,22.22908633,21.19222222,2013,9,8
369336,53895,4.2,-0.40506521,3.326035746,0.865759769,6.42256,1.897467395,1.292201092,0.569140258,-2.304372024,7.682672946,2.120022863,1.772222222,2017,11,26
835201,54541,17.1,12.26166721,16.95277049,16.53060953,14.426992,14.6808336,15.69425041,17.90994548,12.50464863,18.13871273,17.87224472,16.40088889,2018,9,25
339124,53889,11.1,7.743264141,10.87300455,9.066731406,10.6897,9.421632071,10.02544811,10.49653648,3.968225911,13.73676721,10.17846382,10.02805556,2019,4,11
280004,53797,28.1,20.1525011,28.48443612,28.14894192,21.20028,24.12625055,25.79237583,32.47440119,21.77639572,26.89746088,30.24999434,28.29534532,2006,6,20
1034727,54700,24.2,18.05714089,24.61737734,25.13925213,18.8324,21.12857045,22.73885567,27.86977778,19.92062021,24.18766043,25.98192146,24.11166667,2007,5,29
393664,53974,21.5,15.81754385,21.63791373,21.42583066,17.1576,18.65877192,20.03315788,23.91873217,16.26940057,21.77168225,22.68035026,21.16777778,2011,5,26
138805,53688,8.8,6.307683062,8.663794193,7.824994721,9.244,7.553841531,8.074762297,7.961180338,7.009511158,12.26615963,9.931273256,7.693888889,2009,11,6
407554,53980,28.9,26.95490978,32.82620467,33.23391334,21.99016,27.92745489,31.19818233,42.37896679,26.10284048,33.79227471,31.19771984,35.81885986,2010,7,26
197432,53773,8.3,4.236215513,7.708258275,6.009507523,8.94124,6.268107757,6.331161635,6.209952144,2.369831955,11.09745228,7.383824731,6.673888889,2014,3,9
263347,53792,-5.2,-8.046137846,-5.654218124,-9.017289204,0.59424,-6.623068923,-8.010603385,-9.669800764,-11.42838162,1.759346714,-8.532554557,-8.437222222,2011,1,22
476366,53995,7.5,3.60936732,6.922319236,4.547108396,8.442,5.55468366,5.55702549,5.28385607,-0.280873523,10.554643,5.699997432,5.82,2007,11,19
856337,54601,23.4,21.16605749,25.46930837,25.55582579,18.483808,22.28302874,24.76654312,31.07930363,19.88395102,26.57068268,24.98528693,23.95755556,2020,7,27
887182,54607,-1.8,-4.777952682,-2.295847929,-5.076861754,2.65568,-3.288976341,-4.267464511,-5.68811602,-7.796341808,4.098671654,-4.145265628,-4.462222222,2016,12,14
607459,54432,9.8,5.384586376,9.181108456,8.173916778,9.8756,7.592293188,7.762439782,7.944398851,6.138380449,12.11381647,10.02399887,8.271666667,2012,10,10
158126,53692,1.6,0.973120809,1.590499684,-0.786454832,4.64416,1.286560404,1.337840607,-0.373288297,-6.4662074,7.381156254,-0.092323205,0.27,2015,11,21
330622,53886,-1.6,-5.247028156,-2.29347133,-4.773973937,2.8544,-3.423514078,-4.543271117,-5.946715109,-5.0162173,3.887626214,-3.241071054,-4.66,2006,1,8
126357,53685,-1.6,-4.502886975,-2.078133429,-4.578212208,2.77088,-3.051443487,-3.985165231,-5.402986908,-6.300739652,4.272298011,-3.241071054,-4.19,2003,1,19
722817,54514,-6,-8.55163201,-6.355344877,-10.79258625,0.0544,-7.275816005,-8.693724008,-10.38174582,-16.52131239,1.368043015,-11.2309818,-9.134444444,2003,1,2
891290,54608,0.8,-1.673392303,0.419070857,-1.949299221,4.22608,-0.436696152,-0.951044228,-2.272746087,-5.321857555,6.14972203,-0.859024617,-1.262777778,2009,12,4
259024,53792,6.3,2.883335699,5.804076937,3.481160852,7.687796,4.591667849,4.556501774,4.047894265,-1.264385874,9.848801073,4.507898999,4.612277778,2018,3,11
235330,53786,0.7,-1.427426787,0.390731374,-1.475426023,4.14472,-0.363713394,-0.804570091,-2.212003279,-2.102581299,6.206742864,0.694736185,-1.242222222,2003,11,16
40227,53491,0,-2.28692374,-0.3453056,-3.002096,3.716,-1.14346187,-1.715192805,-3.14439664,-7.327846247,5.64543136,-2.212482075,-2.090555556,2016,11,17
130941,53687,25.4,16.87931513,24.99394376,24.75094887,19.49256,21.13965756,22.31148635,27.23300799,18.88873569,23.56859953,27.06000299,25.06611111,2007,6,11
816918,54534,-6.8,-8.969735611,-7.046099185,-10.6734538,-0.50336,-7.884867805,-9.311301708,-11.06750044,-15.05626288,0.995268275,-10.5481703,-9.779444444,2010,2,2
912789,54612,29.9,19.1583687,29.36546957,29.44642688,22.21064,24.52918435,25.73077653,32.31761066,22.83633369,26.53368882,32.40528917,28.97615123,2011,6,10
563544,54420,-10.4,-12.44112861,-10.60210358,-14.11927598,-2.59496,-11.42056431,-13.28284646,-15.28361153,-13.51322829,-1.481812301,-13.17674907,-14.24861111,2019,1,6
74018,53585,-7,-9.585564819,-7.373370906,-9.841700823,-0.5128,-8.29278241,-9.849173615,-11.62926154,-3.999202278,0.625932882,-5.551261234,-10.44333333,2003,12,8
851220,54597,12.6,6.614819379,11.67121151,10.61782865,11.60472,9.607409689,9.749114534,10.52750907,7.388521633,13.5479733,12.51587314,11.03833333,2006,10,30
568543,54421,24.2,22.37061042,26.67655366,26.2312306,19.00848,23.28530521,25.97395782,33.06919798,19.87127162,27.86609812,25.68902555,24.92111111,2014,7,30
967227,54622,25.5,21.26094062,27.11352682,26.8282062,19.7278,23.38047031,25.63570547,32.45265523,20.54475225,27.24730019,27.20222514,25.90722222,2010,8,1
760147,54522,26.1,22.25041343,28.06820941,28.46828128,20.12368,24.17520671,26.60581007,34.06942876,22.3208434,28.30683772,28.0337336,26.64555556,2019,8,15
282987,53797,22.5,11.20771808,20.71869346,20.01381224,17.61,16.85385904,16.95578856,20.27470099,14.94128682,19.05316605,23.53975957,21.38,2017,4,28
793166,54530,29.4,26.9997781,33.23686398,33.51405817,22.28408,28.19988905,31.42183357,42.75438156,26.25837433,33.9876343,31.77925529,36.62492,2013,8,14
546134,54412,20.3,16.17859997,20.88522345,20.36720313,16.45604,18.23929998,19.84794998,23.6057892,15.04787133,21.71884915,21.21909324,20.135,2017,9,7
815301,54534,-0.9,-3.128135135,-1.233880943,-3.473164494,3.15044,-2.014067568,-2.688101352,-4.197349381,-5.173637617,5.02692177,-1.833624159,-3.080555556,2004,1,5
516917,54401,19,11.77938572,18.20910981,17.73464528,15.5512,15.38969286,16.05453929,18.56850227,13.23958184,18.33772798,19.75496724,18.05222222,2019,8,31
53919,53499,-13,-13.94789088,-13.12697453,-18.43906775,-4.04656,-13.47394544,-15.40091816,-18.21911068,-20.69853306,-3.193368133,-19.85639156,-17.54466667,2019,1,15
900177,54609,27.6,25.68691516,31.08032634,31.31702394,21.16544,26.64345758,29.75318637,39.690524,24.50133004,32.07289205,29.70886815,31.98972315,2012,7,25
160140,53692,17.4,12.19369881,17.15474688,16.77531535,14.60576,14.7968494,15.7572741,18.02303587,12.76336574,18.17657965,18.21096102,16.65777778,2009,10,3
532436,54406,12.6,10.63447769,12.92212428,11.82002208,11.64528,11.61723885,12.76385827,13.68606381,7.246375609,15.78255838,12.60252644,12.05666667,2016,10,15
384438,53898,13.2,11.85613085,13.77961744,12.85174312,12.03264,12.52806542,13.90809813,15.05743403,8.38980736,16.66848024,13.46893287,12.87333333,2011,11,4
55295,53499,20.4,14.9769839,20.47196742,20.20687947,16.47712,17.68849195,18.98473793,22.43001774,15.30406578,20.87297816,21.45623054,19.98388889,2010,8,23
936508,54616,11.9,6.035113774,10.96514272,7.948402473,11.17268,8.967556887,9.04833533,9.670785369,3.022716843,13.04019586,10.12976694,10.26833333,2016,3,2
44882,53492,-9.7,-11.82701776,-9.972064748,-14.50896795,-2.12732,-10.76350888,-12.55626332,-14.61886349,-17.72820387,-1.109852027,-15.17493569,-13.59611111,2005,1,30
917236,54613,11.8,6.946443497,11.16877742,9.803161293,11.11816,9.373221749,9.693832623,10.31726299,5.890612469,13.51160694,11.35206368,10.41944444,2016,3,3
1022260,54644,29,21.09018931,29.61182867,30.13711697,21.7648,25.04509466,26.83764199,34.13036738,23.39840646,27.94258484,31.31678267,29.42344714,2019,6,27
776059,54526,0.8,-2.862097102,0.134122782,-1.948342925,4.29968,-1.031048551,-1.842572827,-2.992239975,-2.560592257,5.640701152,-0.158178522,-1.785,2010,12,18
931405,54615,-1.9,-3.755371485,-2.158656402,-6.27250582,2.49824,-2.827685743,-3.538528614,-5.209407416,-14.35092285,4.451391063,-6.406931538,-4.05,2011,2,8
388525,53899,27.4,23.66033984,29.7949446,29.78276781,20.950168,25.53016992,28.15725488,36.7095351,23.10428985,29.99202375,29.44985694,29.89598095,2018,7,8
285564,53798,32.3,20.5751394,31.82389152,32.8850832,23.66544,26.4375697,27.70535455,35.34992608,25.38094326,28.34183348,35.11454132,31.41868589,2009,7,3
998311,54631,13.7,13.11245915,14.57809731,13.6144521,12.3606,13.40622958,15.04034436,16.41209571,8.652795362,17.55662838,13.94279536,13.60611111,2014,9,17
918113,54613,5.6,1.763560795,4.972243286,3.167402987,7.26144,3.681780397,3.450670596,2.873614296,0.399971789,9.116361869,4.616860557,3.677777778,2014,11,22
1024154,54644,-1.6,-4.601147097,-2.102059863,-4.924963511,2.78016,-3.100573549,-4.058860323,-5.463401153,-7.905646308,4.2295567,-4.062372543,-4.242222222,2016,12,23
1047731,54703,-2.3,-5.919195469,-3.00699175,-5.695174319,2.44288,-4.109597735,-5.313396602,-6.82225417,-6.094425503,3.366537464,-4.395533792,-5.534444444,2016,1,14
690836,54506,-3.5,-5.285851801,-3.732296142,-6.013905583,1.49068,-4.3929259,-5.294388851,-7.066047758,-5.735122447,3.362625529,-3.48592639,-5.815222222,2020,1,25
923132,54614,20.6,18.26889352,21.98983567,21.62748698,16.704712,19.43444676,21.52967014,25.99803508,16.18855027,23.36915191,21.68547048,20.83838889,2020,7,9
665159,54499,5.6,2.225146752,5.092269352,3.601517593,7.25088,3.912573376,3.796860064,3.176680114,1.864325198,9.33077207,5.369604787,3.834444444,2010,11,20
934029,54616,14.4,10.2817291,14.21288996,13.42499087,12.750528,12.34086455,13.18329683,14.56384714,9.553778189,16.15071706,14.73737121,13.53533333,2018,10,6
841357,54594,22.4,18.3826536,23.41881887,23.68310806,17.78224,20.3913268,22.2989902,27.22481764,18.76141633,23.98421734,23.98718114,22.49722222,2007,9,3
1009204,54633,11.1,6.239602258,10.4226998,9.112363453,10.68288,8.669801129,8.897701693,9.359516991,5.592911003,12.93235919,10.7066848,9.623333333,2014,11,11
493906,53998,20.4,15.23890579,20.57736979,19.65269981,16.48544,17.8194529,19.18117935,22.69615871,14.16989491,21.06126512,21.10546216,20.03611111,2014,5,14
